case_id,task_id,task_name,trial,episode_seed,initial_state_index,initial_state_sha256,episode_id,episode_success,num_policy_queries,all_query_mismatches,all_query_mismatch_rate,eligible_queries,eligible_mismatches,eligible_mismatch_rate
libero90-task10-trial1,10,KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet,1,38,14,564c42186510976e751207553ad3fe24f41557b18af3f58de8b97a61c32db8de,libero_90-task10-episode1-seed38,true,13,0,0.00000000,13,0,0.00000000
libero90-task10-trial2,10,KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet,2,39,15,a9ffb8c89bf91e529356d6b27f08b138ac9e78253b4c50d8ae88a89007b33ceb,libero_90-task10-episode2-seed39,true,14,1,0.07142857,13,0,0.00000000
libero90-task11-trial0,11,KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet,0,40,13,d1b96de4f3e09544a90b019f686b975d1281060ebced499150fff7ef30bc6b68,libero_90-task11-episode0-seed40,true,7,1,0.14285714,7,1,0.14285714
libero90-task11-trial1,11,KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet,1,41,14,eaed5a32a38b813fd1676a07c69686716f29c159b215ac2aff488ba9260d2c52,libero_90-task11-episode1-seed41,true,7,0,0.00000000,7,0,0.00000000
libero90-task11-trial2,11,KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet,2,42,15,1dfa088958786aa839afe410cd49ab25a18ba883c415069bac3dba6328f4d387,libero_90-task11-episode2-seed42,true,19,0,0.00000000,19,0,0.00000000
libero90-task12-trial0,12,KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate,0,43,13,e10afcf965930e489481fc1c0f9146db60a8238d72a35595edc950427a863b66,libero_90-task12-episode0-seed43,true,9,0,0.00000000,9,0,0.00000000
libero90-task12-trial1,12,KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate,1,44,14,61b5892333871611382fe7957b31a1a22c5785b52b1b103311ec92a033f2848d,libero_90-task12-episode1-seed44,false,40,3,0.07500000,40,3,0.07500000
libero90-task12-trial2,12,KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate,2,45,15,826b5dcc21c724aeaac6afcd645bfaf8e2c51d13c1964ec785f9bb1aaad59302,libero_90-task12-episode2-seed45,true,10,1,0.10000000,10,1,0.10000000
libero90-task13-trial0,13,KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate,0,46,13,81c8a52a3083994441c4883033c89a08e4c7a1be70f3155790e76add400c4d08,libero_90-task13-episode0-seed46,true,11,1,0.09090909,10,0,0.00000000
libero90-task13-trial1,13,KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate,1,47,14,41b2c65da155e253524d3a33c3102ad782963b5e4386c8d125c316bfa732dc77,libero_90-task13-episode1-seed47,true,10,0,0.00000000,10,0,0.00000000
libero90-task13-trial2,13,KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate,2,48,15,924f3919c20de5dd5a8be16ac73ab53b1ff96caa08ff8749785062ff581b44c3,libero_90-task13-episode2-seed48,true,10,0,0.00000000,10,0,0.00000000
libero90-task14-trial0,14,KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate,0,49,13,62cceb2a8ed417c712eb67073b6de873a92b4501e9f1071533367e879abc36d1,libero_90-task14-episode0-seed49,true,11,1,0.09090909,10,0,0.00000000
libero90-task14-trial1,14,KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate,1,50,14,b96423187f99be63c70ea1e590c35357b8648d6873dc17085a2dcde37e05da5c,libero_90-task14-episode1-seed50,true,9,1,0.11111111,8,0,0.00000000
libero90-task14-trial2,14,KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate,2,51,15,1838467da87d40dece4b4a28885448179e893d6b8dbc9305b74332b289914c9a,libero_90-task14-episode2-seed51,true,10,0,0.00000000,10,0,0.00000000
libero90-task15-trial0,15,KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet,0,52,13,b8bdf066beb742a2a2f58138ef0d198de758806301b809b9d44bc95202afcfaa,libero_90-task15-episode0-seed52,true,13,1,0.07692308,12,0,0.00000000
libero90-task15-trial1,15,KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet,1,53,14,cca26777ecdaee45d2e56a381d83f8aa110ce1cd34815a69c94c04be90f930f3,libero_90-task15-episode1-seed53,true,12,1,0.08333333,12,1,0.08333333
libero90-task15-trial2,15,KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet,2,54,15,7ffc1460d77a825a2306ba2fe16c25934918edf1c5d613a3843b69d2c4424cc1,libero_90-task15-episode2-seed54,true,13,0,0.00000000,13,0,0.00000000
libero90-task16-trial0,16,KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle,0,55,13,cbae1a865578cdf5cd6818fa465c59acf53645e64fd4633b0fc58dca539ac057,libero_90-task16-episode0-seed55,true,11,0,0.00000000,11,0,0.00000000
libero90-task16-trial1,16,KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle,1,56,14,2b49715ebfc165b69642830533d00d9f7325c97bcfab0d2aec42f351f2f86554,libero_90-task16-episode1-seed56,true,12,1,0.08333333,12,1,0.08333333
libero90-task16-trial2,16,KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle,2,57,15,ff1045e5eaa4bf353366f917249d63d28c60908ffa0c9fe228f3497cbaf2165d,libero_90-task16-episode2-seed57,true,12,0,0.00000000,12,0,0.00000000
libero90-task17-trial0,17,KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl,0,58,13,6795c5366ce5b04db564ec68d99456fc447a8118664bc3ddb596bc48cf869271,libero_90-task17-episode0-seed58,true,9,0,0.00000000,9,0,0.00000000
libero90-task17-trial1,17,KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl,1,59,14,7aaea64a2588f293788bbbf4e1d0ff8055137c27d1158bac01eb6fe2dc4533e4,libero_90-task17-episode1-seed59,true,13,2,0.15384615,12,1,0.08333333
libero90-task17-trial2,17,KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl,2,60,15,829ada4f7875647b332eb96f99749b89a49670ba0ec4a39e6ae1d36a65db887a,libero_90-task17-episode2-seed60,true,9,0,0.00000000,9,0,0.00000000
libero90-task18-trial0,18,KITCHEN_SCENE3_put_the_frying_pan_on_the_stove,0,61,13,b74f014339a3cdb1e663cf8fd02d9b7269e5a741a8c1b6d81c9556482c38ef4a,libero_90-task18-episode0-seed61,true,35,0,0.00000000,35,0,0.00000000
libero90-task18-trial1,18,KITCHEN_SCENE3_put_the_frying_pan_on_the_stove,1,62,14,31977c7f7e3a88e3b5615c2bc73c9f6f078825bf81f695c5efd699583d059132,libero_90-task18-episode1-seed62,true,18,1,0.05555556,18,1,0.05555556
libero90-task18-trial2,18,KITCHEN_SCENE3_put_the_frying_pan_on_the_stove,2,63,15,edf380d121f87dee2a94176b32aeee531d8183036e4dc0a533d85e10e38b44ba,libero_90-task18-episode2-seed63,true,18,2,0.11111111,17,1,0.05882353
libero90-task19-trial0,19,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove,0,64,13,83635392400f9d27cc34ff7a78518ebdc31d3d4c92dd4fcda5d3e830ca45db1b,libero_90-task19-episode0-seed64,true,14,0,0.00000000,14,0,0.00000000
libero90-task19-trial1,19,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove,1,65,14,34e82827615ce9c6a1b919e90444821653e4d620cc4f222fe72ab4d8eeb6d531,libero_90-task19-episode1-seed65,true,13,0,0.00000000,13,0,0.00000000
libero90-task19-trial2,19,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove,2,66,15,ed8748922dbf764669eb625bf72c2203270c364c0c7bd7760425914d568e9e38,libero_90-task19-episode2-seed66,true,14,1,0.07142857,13,0,0.00000000
libero90-task20-trial0,20,KITCHEN_SCENE3_turn_on_the_stove,0,67,13,8796703ae15fde3cb598af1649978e1f64993432fa1da0f1990e46f6e9178a1f,libero_90-task20-episode0-seed67,true,8,0,0.00000000,8,0,0.00000000
libero90-task20-trial1,20,KITCHEN_SCENE3_turn_on_the_stove,1,68,14,8cacd745e68c37a213b702a58b7451fe88943515b3c59589e761774899b6a779,libero_90-task20-episode1-seed68,true,9,0,0.00000000,9,0,0.00000000
libero90-task20-trial2,20,KITCHEN_SCENE3_turn_on_the_stove,2,69,15,961264ec9cd563f3dabbb1944b7f9ed91bab726fed7efcdb9cfaf5422e82d606,libero_90-task20-episode2-seed69,true,9,1,0.11111111,9,1,0.11111111
libero90-task21-trial0,21,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it,0,70,13,9ba64929cb96d661f6d5471458fb381626980ca5280f434c589740d19c224971,libero_90-task21-episode0-seed70,true,25,1,0.04000000,24,0,0.00000000
libero90-task21-trial1,21,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it,1,71,14,eca8d5f5ece26c57ff537df09f01f31e190e7dac9796abb59f124515437b0c49,libero_90-task21-episode1-seed71,true,25,2,0.08000000,25,2,0.08000000
libero90-task21-trial2,21,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it,2,72,15,3b77f82c38e68988c58b40d4c44740b7ecb27c3d71d1253de6e1ee512ccd26e8,libero_90-task21-episode2-seed72,true,30,1,0.03333333,29,0,0.00000000
libero90-task22-trial0,22,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet,0,73,13,d0b7efda440dd4e87a6fca7182b52256d0443dc6809c37e2a43f69fd534aeebd,libero_90-task22-episode0-seed73,true,14,2,0.14285714,13,1,0.07692308
libero90-task22-trial1,22,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet,1,74,14,33d79728be1833fb9000b74be77887224550021eb0eb43e029481bf465b989bc,libero_90-task22-episode1-seed74,true,14,2,0.14285714,13,1,0.07692308
libero90-task22-trial2,22,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet,2,75,15,59607ef15699ff1e1491bce3440ee2ba57c7c5b15764568d9bf617a6c9e4b402,libero_90-task22-episode2-seed75,true,11,2,0.18181818,9,0,0.00000000
libero90-task23-trial0,23,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer,0,76,13,4a133d1bc718f9617d17b55ffd51bb0589e3adf6c30e1ae8490cc05481c35338,libero_90-task23-episode0-seed76,false,40,0,0.00000000,40,0,0.00000000
libero90-task23-trial1,23,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer,1,77,14,ef1186d5e0ff2ba4b5c8bde7f9e5a628dac4883b7884424b49014f1779f26287,libero_90-task23-episode1-seed77,false,40,2,0.05000000,40,2,0.05000000
libero90-task23-trial2,23,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer,2,78,15,509a942eaaa69dc52aa30631adf5989bc38b6a3cf9fd5db2eb8ef5ce74e0c9e8,libero_90-task23-episode2-seed78,true,21,0,0.00000000,21,0,0.00000000
libero90-task24-trial0,24,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet,0,79,13,e868761aad91b0c4a4da90e7586e6e124589c1839c3476e66128424df2456841,libero_90-task24-episode0-seed79,false,40,3,0.07500000,40,3,0.07500000
libero90-task24-trial1,24,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet,1,80,14,5950be9d083550bbc4a8c134dfa2a3630018c7804c8f95e59a1394a7af1e0578,libero_90-task24-episode1-seed80,true,13,0,0.00000000,13,0,0.00000000
libero90-task24-trial2,24,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet,2,81,15,1615acb416af880378be5cd5b6532f75fbc0fe4ddabf92c92386a05d1e3f26fa,libero_90-task24-episode2-seed81,true,11,0,0.00000000,11,0,0.00000000
libero90-task25-trial0,25,KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet,0,82,13,ed21ca998d245d3ce44e67c45abc8e94910f9943fb48adb7293ef667b50b890d,libero_90-task25-episode0-seed82,false,40,1,0.02500000,39,0,0.00000000
libero90-task25-trial1,25,KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet,1,83,14,597f1c1832c40c06840c9a01fdc1443ae5d9f0bdafcd70da94fdd09b8eb125ab,libero_90-task25-episode1-seed83,true,14,0,0.00000000,14,0,0.00000000
libero90-task25-trial2,25,KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet,2,84,15,4832d21d2ee39494ce0f26d98bbf4f6644043c35176d22af408fae64b60fe956,libero_90-task25-episode2-seed84,true,38,0,0.00000000,38,0,0.00000000
libero90-task26-trial0,26,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet,0,85,13,a94d18d9089ebf6c8c3c0bd3f60fa0b03053629d6c28d012e298931d27efa4ca,libero_90-task26-episode0-seed85,true,12,0,0.00000000,12,0,0.00000000
libero90-task26-trial1,26,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet,1,86,14,ec374a352565a1451671cb93e715a6560ed2d5a10cdbbfc93629a8f0ac0f182b,libero_90-task26-episode1-seed86,true,12,1,0.08333333,11,0,0.00000000
libero90-task26-trial2,26,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet,2,87,15,33b8b523dbca2e36db3cc35136e7a0bb65cccb5b409910356811526d2977bd18,libero_90-task26-episode2-seed87,true,12,1,0.08333333,12,1,0.08333333
libero90-task27-trial0,27,KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack,0,88,13,83298178a5e4c2480d9feb3dba03a7ab098fe5014afadeaa91ca66f9d1f63737,libero_90-task27-episode0-seed88,true,21,5,0.23809524,18,2,0.11111111
libero90-task27-trial1,27,KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack,1,89,14,75737e57de2ea0fc2132e2e59c941fa31267094ac19f6e16d0766e31e1ac1af4,libero_90-task27-episode1-seed89,false,40,8,0.20000000,37,5,0.13513514
libero90-task27-trial2,27,KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack,2,90,15,fa08258009905441846d52ed6027103f0f14e404d56c8d06e3df7d8ffeec8f08,libero_90-task27-episode2-seed90,true,21,5,0.23809524,18,2,0.11111111
libero90-task28-trial0,28,KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet,0,91,13,b89f29090b3d455ad1c3fa461d66ecf8e21c163287ef08d2d8e4833bbaf08bdb,libero_90-task28-episode0-seed91,true,7,0,0.00000000,7,0,0.00000000
libero90-task28-trial1,28,KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet,1,92,14,e41cd1a40d6dcf41eec17ceaab948c8d38bd5cdcf2532313058e82a09571ee3a,libero_90-task28-episode1-seed92,true,8,0,0.00000000,8,0,0.00000000
libero90-task28-trial2,28,KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet,2,93,15,be31b84a8cc339b01810b4adfd351139812bd9c435f2bd5763d23fad8ddc2442,libero_90-task28-episode2-seed93,true,7,0,0.00000000,7,0,0.00000000
libero90-task29-trial0,29,KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,0,94,13,858cc9f6cf495cc3dea15afcd79c1926d47034855c0cb2424e4baa5f28191da9,libero_90-task29-episode0-seed94,true,11,1,0.09090909,10,0,0.00000000
libero90-task29-trial1,29,KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,1,95,14,ca4e9e396e1b84f8f93cdd81221be0a198afc9b1d3a5b7ff360354ef9d62dab0,libero_90-task29-episode1-seed95,true,12,0,0.00000000,12,0,0.00000000
libero90-task29-trial2,29,KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,2,96,15,87f6461462452d9cd0d776269e330fd462e207bc49477dda616666964ba984a9,libero_90-task29-episode2-seed96,true,13,1,0.07692308,13,1,0.07692308
libero90-task30-trial0,30,KITCHEN_SCENE5_put_the_black_bowl_on_the_plate,0,97,13,14fd094b3374e2b0c37ab298584275d4e36579c14f6c800f960485164bf6144a,libero_90-task30-episode0-seed97,true,12,0,0.00000000,12,0,0.00000000
libero90-task30-trial1,30,KITCHEN_SCENE5_put_the_black_bowl_on_the_plate,1,98,14,ee7b95269c1a233456c4a64c4052ab661c03d1ebe25cce9172660a2a9dd0678f,libero_90-task30-episode1-seed98,true,11,0,0.00000000,11,0,0.00000000
libero90-task30-trial2,30,KITCHEN_SCENE5_put_the_black_bowl_on_the_plate,2,99,15,33646785ed0c7ef606e4fbb0564b3a2e5f9122e304ea711493f97330b034a29c,libero_90-task30-episode2-seed99,true,12,0,0.00000000,12,0,0.00000000
libero90-task31-trial0,31,KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet,0,100,13,5f014363282d93e4d5e02ffdd5238c2d6a4c5083837739a865cfbc923fb82d41,libero_90-task31-episode0-seed100,true,14,0,0.00000000,14,0,0.00000000
libero90-task31-trial1,31,KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet,1,101,14,2803ca73f409ddcc57e770a4bd60690ad292336e4f82dcaa7fa43e61eee95030,libero_90-task31-episode1-seed101,true,15,0,0.00000000,15,0,0.00000000
libero90-task31-trial2,31,KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet,2,102,15,0640cd6f697911e70a68c9bc3d9c37073bafbf5c576169d0a5dcc6b4c25a5121,libero_90-task31-episode2-seed102,true,15,1,0.06666667,15,1,0.06666667
libero90-task32-trial0,32,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet,0,103,13,c0030bc1cbf45ad463fd9c29dc7c792166e2d2564dcae084f4736a1420ec898d,libero_90-task32-episode0-seed103,false,40,11,0.27500000,33,4,0.12121212
libero90-task32-trial1,32,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet,1,104,14,08197f6f044e69bac2025e0422bedd36b8e86fbb635793ff7026f1e4a2933ebf,libero_90-task32-episode1-seed104,false,40,2,0.05000000,40,2,0.05000000
libero90-task32-trial2,32,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet,2,105,15,7b13e5842641b5610898aa720211efadb01c3cc0cd4b355542f659dd68ef2752,libero_90-task32-episode2-seed105,true,20,1,0.05000000,20,1,0.05000000
libero90-task33-trial0,33,KITCHEN_SCENE6_close_the_microwave,0,106,13,8d23b29a9962dc95321e67be70a7a7e29cc18d8c500e413e5ab69ea7974202e5,libero_90-task33-episode0-seed106,true,18,1,0.05555556,17,0,0.00000000
